id,source_text,dialect,context_tag,status,created_at,sentiment_score,weight,standard_term,part_of_speech
1207c6a8-016b-48a7-9433-cd037f05026a,anus-a,Boholano,Regional,validated,2026-08-06 09:10:03.172001+00,5,1,kailan,Noun
12325959-96eb-4a5f-8625-869dde22628c,healing era,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,panahon ng pagpapagaling,Phrase
123714c4-a79f-4222-9548-b2ce052deece,kaibigan,General Cebuano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,bai,Noun
12a76675-e488-4e8e-b14f-64bcc92a91b2,hehe,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,nahihiya,Noun
13a1cdaa-3c68-4876-ba48-1be2cee87aea,aba bilis,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,mabilis,Phrase
13ab3f51-0573-4990-9e0e-a93f510e6a3e,very mindful,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,mapagmasid,Phrase
14228339-64b0-46fb-96f0-7d2c525bf33e,nagluluto ga,Batangeño,Food,validated,2026-08-06 09:08:28.867391+00,7,1.5,nagluluto,Phrase
14998de2-5ec9-4edd-8799-a2a3f92de38f,magdasal ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,magdasal,Phrase
149dfa5e-466c-4f05-9c9d-4c792b92a7a6,pano,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,paano,Noun
14be56fa-7940-468d-ba45-588a1377a88f,cheret,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,biro lang,Phrase
1553a589-3243-4c76-9c04-71254e899fe3,siya,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,siya,Noun
15588089-729a-4b5a-815a-30435b6a63be,Suray-suray,Batangeño,Action,validated,2026-07-06 06:21:53.701666+00,0,1,Swerve/wobbly,Noun
1587244b-e69e-4f91-8c1d-d527ae440b6d,spark,General Tagalog,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.2,kinikilig,Adjective
15899401-4ddb-49ac-b098-1a1bd43739b9,wer na u,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,nasaan ka na,Phrase
15ab8d3e-fdfb-47ec-9c36-058b21eeaef4,sus ginoo,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,diyos ko,Phrase
17287619-689e-4608-beed-aa45d30d382b,viral,General Tagalog,Social Media,validated,2026-07-24 12:55:37.151387+00,11,1,kumalat,Noun
175085c6-23e0-41a5-a881-6f68f7e578bf,prof,General Tagalog,School,validated,2026-07-24 12:55:37.151387+00,8,1,propesor,Noun
18407e33-d037-497d-baa5-e4dbfb5def5d,peste,General Cebuano,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.2,pisti,Adjective
18918022-f2aa-4185-a14d-391c16d7a24a,green flag,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,magandang palatandaan,Phrase
18a6af18-2827-4584-8222-e6783786174d,aba maganda,Batangeño,Happy,validated,2026-07-24 12:55:37.151387+00,3,1.5,maganda,Phrase
18f0bc55-38b4-4e55-bbb1-8a4d382b9f9a,bulaklak ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,bulaklak,Phrase
192a12ac-e515-4bde-b51c-fb4d64ec1cbd,Dili gyud ko,General Cebuano,"Regional, Slang",validated,2026-07-09 17:15:44.382122+00,0,1.5,Ayoko ngani,Phrase
19478b5c-a415-4821-9d37-b424ad08439c,Mora bag maalamon kaayo siya.,General Cebuano,"Colloquial, Regional",validated,2026-07-09 17:15:45.416665+00,0,1.5,Na para bang ang talino niya,Phrase
1958b5e9-9ec2-404c-8f45-ee3762a24cdc,lolo ga,Batangeño,Family,validated,2026-07-24 12:55:37.151387+00,12,1.5,lolo,Phrase
198342da-7098-43a5-aa33-44351b468524,iro,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,aso,Noun
19906d6e-b04a-4d19-a237-a72164c1d200,ikot,General Cebuano,Regional,validated,2026-08-06 09:10:03.172001+00,5,1,tuyok,Noun
19e7f8c6-7394-4ced-ae3e-34f44875e866,simbahan ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,simbahan,Phrase
19faffeb-efe9-4b49-bd94-7e12c71621a4,keri,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,kaya,Noun
1a13ad06-bc45-4383-b006-9f202c7edd1b,Huntahan,Batangeño,Social,validated,2026-07-06 06:21:53.701666+00,0,1.5,Small talk,Phrase
1a3b7ead-0868-4f6d-8bec-31fa944487f5,werpa,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,lakas,Noun
1a53da57-88d9-4724-844a-707975adb614,paano,General Cebuano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,unsaon,Noun
1a58bb62-fb48-4f42-b721-e69cc615afb4,walang hiya,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.5,walang hiya,Phrase
1a732dfe-2816-43ab-a88e-a18078c1d0d7,Kana,General Cebuano,Pointer,validated,2026-07-06 06:21:53.701666+00,0,1.5,That (object),Phrase
1ae28f20-f19f-4d8a-ab8a-f3112e7c786f,beige flag,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,kakaibang ugali,Phrase
1b095f38-fe0a-4851-ae3a-7ece93b62560,eabab,General Tagalog,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.2,babe,Adjective
1bd7f170-9381-4aba-94cc-72c191ece700,mvp,General Tagalog,Gaming,validated,2026-07-24 12:55:37.151387+00,10,1.5,pinakamahusay na manlalaro,Phrase
1c841719-4dc7-4301-a734-4a415e692ffb,eme,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,kung ano-ano,Phrase
1cd0fe49-ecec-46bf-84f3-04dd1ee578ba,bad trip,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,3,nakakagalit,Phrase
1d04d3d7-250f-412f-903c-0631992d8365,aba tamad,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,tamad,Phrase
1d3dc761-e9ca-47f4-be1f-46093aeb3280,fomo,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,takot na mawalan ng pagkakataon,Phrase
1d61603c-b723-43e7-8c2c-b569c9927d7e,echosera,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.2,maarte,Adjective
1dbf8743-ea78-461a-9fc0-484d946a3591,palo,General Cebuano,Angry,validated,2026-08-06 09:08:28.867391+00,4,1.2,hapak,Adjective
1e29b832-3b6f-44a7-9d6f-968e28a3cd36,kami,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,kami,Noun
1e54f4c4-277f-475a-9c09-342f68101e20,teh,General Tagalog,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,ate,Noun
1e7efbd8-5c00-4cdb-9ee5-b4c250f05c25,Abange,Batangeño,Action,validated,2026-07-06 06:21:53.701666+00,0,1,Wait,Noun
1ebfd8aa-d51b-454d-bc21-0f2df32cbbb0,maglaba,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,maglaba,Verb
1f091f49-1e18-414d-ae02-44cfd9deaaad,vlog,General Tagalog,Social Media,validated,2026-07-24 12:55:37.151387+00,11,1.5,video blog,Phrase
1fe3bf28-4cc0-4990-96f4-7c90506d792c,hustle,General Tagalog,Work,validated,2026-07-24 12:55:37.151387+00,9,1,sipag,Noun
20a15db7-0d82-4c7b-8014-be5055182ca9,gabii,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,gabi,Noun
2115df1b-1ee0-4759-b3f3-62ba6a4c60b6,pagod,General Tagalog,Sadness,validated,2026-07-24 12:55:37.151387+00,14,1.5,pagod na pagod,Phrase
21bc4704-2e74-4dfe-a700-d07655613c0d,sawa,General Tagalog,Work / Hustle,validated,2026-08-06 10:13:05.652615+00,9,1.5,pagod na,Phrase
21e3362c-8a4a-442f-8312-54ceed49a2fb,ganahan,Boholano,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.2,gusto,Adjective
2245ffd0-997e-4348-aab0-a3cec71a7269,bata ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,bata,Phrase
2297694e-319a-42ba-a2ea-e0e3ab984761,landian,General Tagalog,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.5,nag-uusap ng sweet,Phrase
22ef74d9-59b3-4a32-91cf-fd547e7d2e50,potaena,General Tagalog,"Angry, Profanity",validated,2026-07-24 12:55:37.151387+00,15,1.2,nakakainis,Adjective
232c8dee-7cb0-4017-8720-279ed62dedb0,saan ba,General Cebuano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,asa man,Phrase
239830ea-6041-4a35-8b8e-03c674367367,mikatawa,Boholano,Happy,validated,2026-07-24 12:55:37.151387+00,3,1.2,tumawa,Adjective
2418cb46-e3ee-4bdb-9c45-89378f0edc94,valid,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,tama,Noun
2420416e-4f4f-410e-b913-0448645ca66b,jowa,General Tagalog,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.2,kasintahan,Adjective
24749c73-90aa-44cf-8f45-ecbd75821f74,naur,General Tagalog,Internet Slang,validated,2026-08-06 09:10:03.172001+00,2,1,hindi,Noun
24906fe1-91a6-41c4-9959-3bd24f445a38,pa victim,General Tagalog,Angry,validated,2026-08-06 09:10:03.172001+00,4,1.5,nagkukunwaring biktima,Phrase
24dd8a63-5d5f-4f20-802e-947db4e3415b,aba gusto,Batangeño,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.5,gusto,Phrase
24e5d309-32f3-4555-92f4-55cb18828861,dagat,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,dagat,Noun
254c6780-c414-4017-a0d2-27833ec067aa,kain na tayo,General Tagalog,Food,validated,2026-07-24 12:55:37.151387+00,7,1.5,kumain na tayo,Phrase
26a67d7f-b1c7-4453-b1c0-aa6b24032b69,iba,General Cebuano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,lahi,Noun
27320045-bb2e-4c7d-85d8-ccce7fc16c0f,ulan,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,ulan,Noun
276c5e2d-6e0a-4c42-bca7-02898d57c45f,nagsasalita ga,Batangeño,Regional,validated,2026-08-06 09:08:28.867391+00,5,1.5,nagsasalita,Phrase
2789053c-9e31-49c3-9a64-d4a083c23f72,kinsa,Boholano,Regional,validated,2026-08-06 09:08:28.867391+00,5,1,sino,Noun
27af0690-e18c-499a-b513-4f87a9ada7d1,siraulo,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.2,baliw,Adjective
27bfcf56-e633-4163-b62e-1a9f837d8be1,mahal,General Cebuano,Flirty,validated,2026-07-24 12:55:37.151387+00,1,1.2,pangga,Adjective
27f715f9-586f-4e32-aaa2-f60acd37b21a,charot,General Tagalog,Internet Slang,validated,2026-07-17 16:17:28.720298+00,2,1.5,biro lang,Phrase
285f3adb-6bef-4c49-9df5-ead3d15c1bb3,red flag,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.5,palatandaan ng masama,Phrase
28870b77-f5eb-424f-9370-63e0c3d68d7f,man,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.2,naman,Adjective
28bea02d-4961-44ff-88c3-3a1e3a08e43c,unsaon,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,paano,Noun
29639e97-a666-4f8c-873b-085b563555a0,Tubal,Batangeño,Household,validated,2026-07-06 06:21:53.701666+00,0,1.5,Dirty cloth,Phrase
2989777d-eed8-4bf2-bcfd-2087a94956cb,kan-on,Boholano,Food,validated,2026-07-24 12:55:37.151387+00,7,1,kanin,Noun
2a3346d1-f44b-48fb-83c7-8b27bc166e6d,suntok sa buwan,General Tagalog,Sadness,validated,2026-08-06 09:10:03.172001+00,14,1.5,imposible,Phrase
2a751e8c-cf91-4722-a6f1-ecde034c829a,ading,General Tagalog,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,bunso,Noun
2a919034-e745-4d83-8b11-a0b5f88bf4a2,sana all,General Tagalog,"Internet Slang, Happy",validated,2026-07-17 16:17:27.294766+00,3,1.5,sana lahat,Phrase
2abf767a-c9a8-43af-8279-b9143fe0d70e,eh,General Tagalog,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,eh,Noun
2ac844af-b307-46b5-82b7-0277caa19684,adlaw,Boholano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,araw,Noun
2ad75ba0-1347-400f-b306-d492dc3e6d84,legendary,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.2,mahusay,Adjective
2b160461-7287-46ff-bb0f-93d051d8b176,u,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,ikaw,Noun
2b43f925-ca51-454f-86ab-02f80497484c,nag-iinit ang ulo,Batangeño,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.5,galit,Phrase
2b80a265-6902-4eaa-9d5c-ea34765499c9,ga,Batangeño,Regional,validated,2026-08-06 09:10:03.172001+00,5,1,ba,Noun
2b900e99-6db1-45b3-b528-8cd5fb0c57b4,aba buti,Batangeño,Happy,validated,2026-07-24 12:55:37.151387+00,3,1.5,mabuti,Phrase
2c03c218-9506-4a4f-b2be-508e5f665e28,bastos,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.5,walang galang,Phrase
2c067039-108d-41fc-8ed9-fb780b78a7bd,bhie,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,kaibigan,Noun
2c160f0c-4ea9-42b5-a4c1-95ce326736be,ulam ga,Batangeño,Food,validated,2026-07-24 12:55:37.151387+00,7,1.5,ulam,Phrase
2c1e8e94-a77f-4cbf-8637-85dbec274efe,delusional,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,nagbubulag-bulagan,Verb
2c5dd623-bc21-4be8-956d-5038755388ed,ulan ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,ulan,Phrase
2cb32e5d-78e2-4912-a3bd-679c755c79df,Alwasin mo,Batangeño,Action,validated,2026-07-06 06:21:53.701666+00,0,1.5,Rummage/search,Phrase
2d0cb575-2e1e-47c4-b714-2bf58942749d,sosyal,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.2,mayaman,Adjective
2d4920a2-7aa9-41f6-a7ae-cde324e79721,situationship,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,walang label na relasyon,Phrase
2d73d256-8c67-4395-a893-e8112678a8a5,tag-init,General Cebuano,Regional,validated,2026-07-24 12:55:37.151387+00,5,1,ting-init,Noun
2d79a65b-3ffd-4c70-8b8e-80e9256b4f48,magtanim ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,magtanim,Phrase
2d93dc8f-0e19-47bb-a049-b95a87672b67,pikon,General Tagalog,Angry,validated,2026-07-24 12:55:37.151387+00,4,1.5,madaling magalit,Phrase
2dbdc77c-9bab-4bbd-bcd8-b06e2f713378,sis,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,kaibigan,Noun
2ddf120a-d2b0-48f6-8860-d84c12e15013,sarap,General Tagalog,Happy,validated,2026-07-24 12:55:37.151387+00,3,1.2,masarap,Adjective
2e0a17eb-b0ef-47c2-9982-7430d0ee7953,ulol,General Tagalog,"Angry, Profanity",validated,2026-07-24 12:55:37.151387+00,4,1.2,baliw,Adjective
2e7629be-d312-4bb6-bd48-317496338a8c,ot,General Tagalog,Work,validated,2026-07-24 12:55:37.151387+00,9,1,overtime,Noun
2ed9decd-9d8b-4ed2-91b0-103efa2b3224,chareng,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1.5,biro lang,Phrase
2f1609a1-d906-41d0-abdd-45c0c17d04eb,saan ga,Batangeño,Regional,validated,2026-07-24 12:55:37.151387+00,5,1.5,saan,Phrase
2f951edd-768f-4571-93f8-ab55482d6dc9,noob,General Tagalog,Gaming,validated,2026-07-24 12:55:37.151387+00,10,1,baguhan,Noun
2fa039cb-8cc4-4be3-b0d5-67f0fab2e263,latag,General Tagalog,Social Media,validated,2026-08-06 09:10:03.172001+00,11,1,ipaliwanag,Noun
2fa3826d-c0cb-44fd-84dd-8b3396ebcd5a,n,General Tagalog,Internet Slang,validated,2026-07-24 12:55:37.151387+00,2,1,na,Noun
